BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,16000,12.1,7.6,3.7,0.8,Moderate Controversy Level,2,5th percentile,Low
AVY,Avery Dennison Corp.,Consumer Cyclical,Packaging & Containers,35000,16.1,11.4,3.7,0.9,Low Controversy Level,1,14th percentile,Low
PKG,Packaging Corp of America,Consumer Cyclical,Packaging & Containers,14900,18.6,14,3.6,1.1,Low Controversy Level,1,23rd percentile,Low
APD,Air Products & Chemicals Inc.,Basic Materials,Specialty Chemicals,23000,12.3,7.4,3.3,1.5,Low Controversy Level,1,5th percentile,Low
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,4700,10.1,4.1,4.3,1.7,None Controversy Level,N/A,3rd percentile,Low
KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instruments,15400,7.6,1.2,4.7,1.8,Low Controversy Level,1,1st percentile,Negligible
CBRE,Cbre Group Inc.,Real Estate,Real Estate Services,130000,8,1.5,4.6,1.9,Low Controversy Level,1,2nd percentile,Negligible
AVB,Avalonbay Communities Inc.,Real Estate,REIT - Residential,2978,9.8,3,4.8,2,Low Controversy Level,1,3rd percentile,Negligible
LYB,Lyondellbasell Industries N.v. Class A,Basic Materials,Specialty Chemicals,20000,20.7,13.5,5.1,2.1,Moderate Controversy Level,2,31st percentile,Medium
PLD,Prologis Inc.,Real Estate,REIT - Industrial,2574,10.3,2.7,5,2.5,Low Controversy Level,1,3rd percentile,Low
PSA,Public Storage,Real Estate,REIT - Industrial,6200,13.1,4.7,5.7,2.6,Low Controversy Level,1,7th percentile,Low
KIM,Kimco Realty Corp.,Real Estate,REIT - Retail,660,10.9,2.3,6,2.6,None Controversy Level,N/A,4th percentile,Low
ESS,Essex Property Trust Inc,Real Estate,REIT - Residential,1747,12.4,3.5,6.1,2.8,Low Controversy Level,1,6th percentile,Low
DLR,Digital Realty Trust Inc.,Real Estate,REIT - Specialty,3664,12.6,2.8,7,2.8,None Controversy Level,N/A,6th percentile,Low
AMT,American Tower Corporation,Real Estate,REIT - Specialty,5643,10.9,2.9,5.2,2.8,Low Controversy Level,1,4th percentile,Low
HAS,Hasbro Inc.,Consumer Cyclical,Leisure,5502,7.1,0,4.2,2.9,Moderate Controversy Level,2,1st percentile,Negligible
EQR,Equity Residential,Real Estate,REIT - Residential,2400,11.9,3,6.1,2.9,Low Controversy Level,1,5th percentile,Low
MAA,Mid-America Apartment Communities Inc.,Real Estate,REIT - Residential,2427,13.1,3.9,6.3,3,Low Controversy Level,1,7th percentile,Low
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,34800,12.7,4.5,5.3,3,Low Controversy Level,1,6th percentile,Low
SBAC,Sba Communications Corp,Real Estate,REIT - Specialty,1787,11.6,3.1,5.2,3.2,None Controversy Level,N/A,4th percentile,Low
REG,Regency Centers Corporation,Real Estate,REIT - Retail,492,11.7,3.7,4.8,3.2,None Controversy Level,N/A,5th percentile,Low
CDW,Cdw Corporation,Technology,Information Technology Services,11400,9.2,2.5,3.5,3.2,None Controversy Level,N/A,2nd percentile,Negligible
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,12700,12.4,3.8,5.2,3.4,None Controversy Level,N/A,6th percentile,Low
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,533,13.2,4.2,5.5,3.5,Low Controversy Level,1,7th percentile,Low
IRM,Iron Mountain Inc.,Real Estate,REIT - Specialty,27000,14.5,5,5.8,3.7,Moderate Controversy Level,2,10th percentile,Low
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,7618,15.2,4.2,7.3,3.7,Low Controversy Level,1,12th percentile,Low
ARE,Alexandria Real Estate Equities Inc.,Real Estate,REIT - Office,568,13.9,3.9,6.3,3.7,None Controversy Level,N/A,9th percentile,Low
STX,Seagate Technology Holdings Plcs,Technology,Computer Hardware,33400,10.7,1.6,5.3,3.8,Low Controversy Level,1,2nd percentile,Low
WDC,Western Digital Corp.,Technology,Computer Hardware,53000,11.4,1.5,6.1,3.9,Moderate Controversy Level,2,4th percentile,Low
VTR,Ventas Inc.,Real Estate,REIT - Healthcare Facilities,486,12.9,3.4,5.6,3.9,None Controversy Level,N/A,6th percentile,Low
UDR,Udr Inc.,Real Estate,REIT - Residential,1397,13.9,3.7,6.3,3.9,Low Controversy Level,1,9th percentile,Low
CPT,Camden Property Trust,Real Estate,REIT - Residential,1640,16.1,4,8.2,3.9,Low Controversy Level,1,14th percentile,Low
APTV,Aptiv Plc,Consumer Cyclical,Auto Parts,154000,10.7,1.5,5.3,3.9,Low Controversy Level,1,3rd percentile,Low
SPG,Simon Property Group Inc.,Real Estate,REIT - Retail,2500,14,3.8,6.2,4,Low Controversy Level,1,9th percentile,Low
LKQ,Lkq Corporation,Consumer Cyclical,Auto Parts,49000,11.1,3.8,3.3,4,Moderate Controversy Level,2,4th percentile,Low
LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,17200,13.6,4.5,5.1,4,Low Controversy Level,1,8th percentile,Low
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,62000,10.7,0.9,5.6,4.1,Moderate Controversy Level,2,3rd percentile,Low
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,9300,16.7,9.1,3.5,4.2,Moderate Controversy Level,2,16th percentile,Low
